id,value
"profession.Arts, Design, Entertainment, Sports, and Media Occupations.Commercial and Industrial Designers",1.9.6
"profession.Arts, Design, Entertainment, Sports, and Media Occupations.Fashion Designers",1.9.7
"profession.Arts, Design, Entertainment, Sports, and Media Occupations.Floral Designers",1.9.8
"profession.Arts, Design, Entertainment, Sports, and Media Occupations.Graphic Designers",1.9.9
"profession.Arts, Design, Entertainment, Sports, and Media Occupations.Interior Designers",1.9.10
"profession.Arts, Design, Entertainment, Sports, and Media Occupations.Merchandise Displayers and Window Trimmers",1.9.11
"profession.Arts, Design, Entertainment, Sports, and Media Occupations.Set and Exhibit Designers",1.9.12
"profession.Arts, Design, Entertainment, Sports, and Media Occupations.Designers, All Other",1.9.13
"profession.Arts, Design, Entertainment, Sports, and Media Occupations.Actors",1.9.14
"profession.Arts, Design, Entertainment, Sports, and Media Occupations.Producers and Directors",1.9.15
"profession.Arts, Design, Entertainment, Sports, and Media Occupations.Athletes and Sports Competitors",1.9.16
"profession.Arts, Design, Entertainment, Sports, and Media Occupations.Coaches and Scouts",1.9.17
"profession.Arts, Design, Entertainment, Sports, and Media Occupations.Umpires, Referees, and Other Sports Officials",1.9.18
"profession.Arts, Design, Entertainment, Sports, and Media Occupations.Dancers",1.9.19
"profession.Arts, Design, Entertainment, Sports, and Media Occupations.Choreographers",1.9.20
"profession.Arts, Design, Entertainment, Sports, and Media Occupations.Music Directors and Composers",1.9.21
"profession.Arts, Design, Entertainment, Sports, and Media Occupations.Musicians and Singers",1.9.22
"profession.Arts, Design, Entertainment, Sports, and Media Occupations.Disc Jockeys, Except Radio",1.9.23
"profession.Arts, Design, Entertainment, Sports, and Media Occupations.Entertainers and Performers, Sports and Related Workers, All Other",1.9.24
"profession.Arts, Design, Entertainment, Sports, and Media Occupations.Broadcast Announcers and Radio Disc Jockeys",1.9.25
"profession.Arts, Design, Entertainment, Sports, and Media Occupations.News Analysts, Reporters, and Journalists",1.9.26
"profession.Arts, Design, Entertainment, Sports, and Media Occupations.Public Relations Specialists",1.9.27
"profession.Arts, Design, Entertainment, Sports, and Media Occupations.Editors",1.9.28
"profession.Arts, Design, Entertainment, Sports, and Media Occupations.Technical Writers",1.9.29
"profession.Arts, Design, Entertainment, Sports, and Media Occupations.Writers and Authors",1.9.30
"profession.Arts, Design, Entertainment, Sports, and Media Occupations.Interpreters and Translators",1.9.31
"profession.Arts, Design, Entertainment, Sports, and Media Occupations.Court Reporters and Simultaneous Captioners",1.9.32
"profession.Arts, Design, Entertainment, Sports, and Media Occupations.Media and Communication Workers, All Other",1.9.33
"profession.Arts, Design, Entertainment, Sports, and Media Occupations.Audio and Video Technicians",1.9.34
"profession.Arts, Design, Entertainment, Sports, and Media Occupations.Broadcast Technicians",1.9.35
"profession.Arts, Design, Entertainment, Sports, and Media Occupations.Sound Engineering Technicians",1.9.36
"profession.Arts, Design, Entertainment, Sports, and Media Occupations.Lighting Technicians",1.9.37
"profession.Arts, Design, Entertainment, Sports, and Media Occupations.Photographers",1.9.38
"profession.Arts, Design, Entertainment, Sports, and Media Occupations.Camera Operators, Television, Video, and Film",1.9.39
"profession.Arts, Design, Entertainment, Sports, and Media Occupations.Film and Video Editors",1.9.40
"profession.Arts, Design, Entertainment, Sports, and Media Occupations.Media and Communication Equipment Workers, All Other",1.9.41
profession.Healthcare Practitioners and Technical Occupations,1.10
profession.Healthcare Practitioners and Technical Occupations.Chiropractors,1.10.1
"profession.Healthcare Practitioners and Technical Occupations.Dentists, General",1.10.2
profession.Healthcare Practitioners and Technical Occupations.Oral and Maxillofacial Surgeons,1.10.3
profession.Healthcare Practitioners and Technical Occupations.Orthodontists,1.10.4
profession.Healthcare Practitioners and Technical Occupations.Prosthodontists,1.10.5
"profession.Healthcare Practitioners and Technical Occupations.Dentists, All Other Specialists",1.10.6
profession.Healthcare Practitioners and Technical Occupations.Dietitians and Nutritionists,1.10.7
profession.Healthcare Practitioners and Technical Occupations.Optometrists,1.10.8
profession.Healthcare Practitioners and Technical Occupations.Pharmacists,1.10.9
profession.Healthcare Practitioners and Technical Occupations.Physician Assistants,1.10.10
profession.Healthcare Practitioners and Technical Occupations.Podiatrists,1.10.11
profession.Healthcare Practitioners and Technical Occupations.Occupational Therapists,1.10.12
profession.Healthcare Practitioners and Technical Occupations.Physical Therapists,1.10.13
profession.Healthcare Practitioners and Technical Occupations.Radiation Therapists,1.10.14
profession.Healthcare Practitioners and Technical Occupations.Recreational Therapists,1.10.15
profession.Healthcare Practitioners and Technical Occupations.Respiratory Therapists,1.10.16
profession.Healthcare Practitioners and Technical Occupations.SpeechLanguage Pathologists,1.10.17
profession.Healthcare Practitioners and Technical Occupations.Exercise Physiologists,1.10.18
"profession.Healthcare Practitioners and Technical Occupations.Therapists, All Other",1.10.19
profession.Healthcare Practitioners and Technical Occupations.Veterinarians,1.10.20
profession.Healthcare Practitioners and Technical Occupations.Registered Nurses,1.10.21
profession.Healthcare Practitioners and Technical Occupations.Nurse Anesthetists,1.10.22
profession.Healthcare Practitioners and Technical Occupations.Nurse Midwives,1.10.23
profession.Healthcare Practitioners and Technical Occupations.Nurse Practitioners,1.10.24
profession.Healthcare Practitioners and Technical Occupations.Audiologists,1.10.25
profession.Healthcare Practitioners and Technical Occupations.Anesthesiologists,1.10.26
profession.Healthcare Practitioners and Technical Occupations.Cardiologists,1.10.27
profession.Healthcare Practitioners and Technical Occupations.Dermatologists,1.10.28
profession.Healthcare Practitioners and Technical Occupations.Emergency Medicine Physicians,1.10.29
profession.Healthcare Practitioners and Technical Occupations.Family Medicine Physicians,1.10.30
profession.Healthcare Practitioners and Technical Occupations.General Internal Medicine Physicians,1.10.31
profession.Healthcare Practitioners and Technical Occupations.Neurologists,1.10.32
profession.Healthcare Practitioners and Technical Occupations.Obstetricians and Gynecologists,1.10.33
"profession.Healthcare Practitioners and Technical Occupations.Pediatricians, General",1.10.34
"profession.Healthcare Practitioners and Technical Occupations.Physicians, Pathologists",1.10.35
profession.Healthcare Practitioners and Technical Occupations.Psychiatrists,1.10.36
profession.Healthcare Practitioners and Technical Occupations.Radiologists,1.10.37
"profession.Healthcare Practitioners and Technical Occupations.Physicians, All Other",1.10.38
"profession.Healthcare Practitioners and Technical Occupations.Ophthalmologists, Except Pediatric",1.10.39
"profession.Healthcare Practitioners and Technical Occupations.Orthopedic Surgeons, Except Pediatric",1.10.40
profession.Healthcare Practitioners and Technical Occupations.Pediatric Surgeons,1.10.41
"profession.Healthcare Practitioners and Technical Occupations.Surgeons, All Other",1.10.42
profession.Healthcare Practitioners and Technical Occupations.Miscellaneous Healthcare Diagnosing or Treating Practitioners,1.10.43
profession.Healthcare Practitioners and Technical Occupations.Acupuncturists,1.10.44
profession.Healthcare Practitioners and Technical Occupations.Dental Hygienists,1.10.45
"profession.Healthcare Practitioners and Technical Occupations.Healthcare Diagnosing or Treating Practitioners, All Other",1.10.46
profession.Healthcare Practitioners and Technical Occupations.Medical and Clinical Laboratory Technologists,1.10.47
profession.Healthcare Practitioners and Technical Occupations.Medical and Clinical Laboratory Technicians,1.10.48
profession.Healthcare Practitioners and Technical Occupations.Cardiovascular Technologists and Technicians,1.10.49
profession.Healthcare Practitioners and Technical Occupations.Diagnostic Medical Sonographers,1.10.50
profession.Healthcare Practitioners and Technical Occupations.Nuclear Medicine Technologists,1.10.51
profession.Healthcare Practitioners and Technical Occupations.Radiologic Technologists and Technicians,1.10.52
profession.Healthcare Practitioners and Technical Occupations.Magnetic Resonance Imaging Technologists,1.10.53
profession.Healthcare Practitioners and Technical Occupations.Medical Dosimetrists,1.10.54
profession.Healthcare Practitioners and Technical Occupations.Emergency Medical Technicians,1.10.55
profession.Healthcare Practitioners and Technical Occupations.Paramedics,1.10.56
profession.Healthcare Practitioners and Technical Occupations.Dietetic Technicians,1.10.57
profession.Healthcare Practitioners and Technical Occupations.Pharmacy Technicians,1.10.58
profession.Healthcare Practitioners and Technical Occupations.Psychiatric Technicians,1.10.59
profession.Healthcare Practitioners and Technical Occupations.Surgical Technologists,1.10.60
profession.Healthcare Practitioners and Technical Occupations.Veterinary Technologists and Technicians,1.10.61
profession.Healthcare Practitioners and Technical Occupations.Ophthalmic Medical Technicians,1.10.62
profession.Healthcare Practitioners and Technical Occupations.Licensed Practical and Licensed Vocational Nurses,1.10.63
profession.Healthcare Practitioners and Technical Occupations.Medical Records Specialists,1.10.64
"profession.Healthcare Practitioners and Technical Occupations.Opticians, Dispensing",1.10.65
profession.Healthcare Practitioners and Technical Occupations.Orthotists and Prosthetists,1.10.66
profession.Healthcare Practitioners and Technical Occupations.Hearing Aid Specialists,1.10.67
"profession.Healthcare Practitioners and Technical Occupations.Health Technologists and Technicians, All Other",1.10.68
profession.Healthcare Practitioners and Technical Occupations.Health Information Technologists and Medical Registrars,1.10.69
profession.Healthcare Practitioners and Technical Occupations.Athletic Trainers,1.10.70
profession.Healthcare Practitioners and Technical Occupations.Genetic Counselors,1.10.71
profession.Healthcare Practitioners and Technical Occupations.Surgical Assistants,1.10.72
"profession.Healthcare Practitioners and Technical Occupations.Healthcare Practitioners and Technical Workers, All Other",1.10.73
profession.Healthcare Support Occupations,1.11
profession.Healthcare Support Occupations.Home Health Aides,1.11.1
profession.Healthcare Support Occupations.Personal Care Aides,1.11.2
profession.Healthcare Support Occupations.Nursing Assistants,1.11.3
profession.Healthcare Support Occupations.Orderlies,1.11.4
profession.Healthcare Support Occupations.Psychiatric Aides,1.11.5
profession.Healthcare Support Occupations.Occupational Therapy Assistants,1.11.6
profession.Healthcare Support Occupations.Occupational Therapy Aides,1.11.7
profession.Healthcare Support Occupations.Physical Therapist Assistants,1.11.8
profession.Healthcare Support Occupations.Physical Therapist Aides,1.11.9
profession.Healthcare Support Occupations.Massage Therapists,1.11.10
profession.Healthcare Support Occupations.Dental Assistants,1.11.11
profession.Healthcare Support Occupations.Medical Assistants,1.11.12
profession.Healthcare Support Occupations.Medical Equipment Preparers,1.11.13
profession.Healthcare Support Occupations.Medical Transcriptionists,1.11.14
profession.Healthcare Support Occupations.Pharmacy Aides,1.11.15
profession.Healthcare Support Occupations.Veterinary Assistants and Laboratory Animal Caretakers,1.11.16
profession.Healthcare Support Occupations.Phlebotomists,1.11.17
"profession.Healthcare Support Occupations.Healthcare Support Workers, All Other",1.11.18
profession.Protective Service Occupations,1.12
profession.Protective Service Occupations.FirstLine Supervisors of Correctional Officers,1.12.1
profession.Protective Service Occupations.FirstLine Supervisors of Police and Detectives,1.12.2
profession.Protective Service Occupations.FirstLine Supervisors of Firefighting and Prevention Workers,1.12.3
profession.Protective Service Occupations.FirstLine Supervisors of Security Workers,1.12.4
"profession.Protective Service Occupations.FirstLine Supervisors of Protective Service Workers, All Other",1.12.5
profession.Protective Service Occupations.Firefighters,1.12.6
profession.Protective Service Occupations.Fire Inspectors and Investigators,1.12.7
profession.Protective Service Occupations.Forest Fire Inspectors and Prevention Specialists,1.12.8
profession.Protective Service Occupations.Bailiffs,1.12.9
profession.Protective Service Occupations.Correctional Officers and Jailers,1.12.10
profession.Protective Service Occupations.Detectives and Criminal Investigators,1.12.11
profession.Protective Service Occupations.Fish and Game Wardens,1.12.12
profession.Protective Service Occupations.Parking Enforcement Workers,1.12.13
profession.Protective Service Occupations.Police and Sheriff's Patrol Officers,1.12.14
profession.Protective Service Occupations.Transit and Railroad Police,1.12.15
profession.Protective Service Occupations.Animal Control Workers,1.12.16
profession.Protective Service Occupations.Private Detectives and Investigators,1.12.17
profession.Protective Service Occupations.Gambling Surveillance Officers and Gambling Investigators,1.12.18
profession.Protective Service Occupations.Security Guards,1.12.19
profession.Protective Service Occupations.Crossing Guards and Flaggers,1.12.20
"profession.Protective Service Occupations.Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",1.12.21
profession.Protective Service Occupations.Transportation Security Screeners,1.12.22
profession.Protective Service Occupations.School Bus Monitors,1.12.23
"profession.Protective Service Occupations.Protective Service Workers, All Other",1.12.24
profession.Food Preparation and Serving Related Occupations,1.13
profession.Food Preparation and Serving Related Occupations.Chefs and Head Cooks,1.13.1
profession.Food Preparation and Serving Related Occupations.FirstLine Supervisors of Food Preparation and Serving Workers,1.13.2
"profession.Food Preparation and Serving Related Occupations.Cooks, Fast Food",1.13.3
"profession.Food Preparation and Serving Related Occupations.Cooks, Institution and Cafeteria",1.13.4
"profession.Food Preparation and Serving Related Occupations.Cooks, Private Household",1.13.5
"profession.Food Preparation and Serving Related Occupations.Cooks, Restaurant",1.13.6
"profession.Food Preparation and Serving Related Occupations.Cooks, Short Order",1.13.7
"profession.Food Preparation and Serving Related Occupations.Cooks, All Other",1.13.8
profession.Food Preparation and Serving Related Occupations.Food Preparation Workers,1.13.9
profession.Food Preparation and Serving Related Occupations.Bartenders,1.13.10
profession.Food Preparation and Serving Related Occupations.Fast Food and Counter Workers,1.13.11
profession.Food Preparation and Serving Related Occupations.Waiters and Waitresses,1.13.12
"profession.Food Preparation and Serving Related Occupations.Food Servers, Nonrestaurant",1.13.13
profession.Food Preparation and Serving Related Occupations.Dining Room and Cafeteria Attendants and Bartender Helpers,1.13.14
profession.Food Preparation and Serving Related Occupations.Dishwashers,1.13.15
"profession.Food Preparation and Serving Related Occupations.Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",1.13.16
"profession.Food Preparation and Serving Related Occupations.Food Preparation and Serving Related Workers, All Other",1.13.17
profession.Building and Grounds Cleaning and Maintenance Occupations,1.14
profession.Building and Grounds Cleaning and Maintenance Occupations.FirstLine Supervisors of Housekeeping and Janitorial Workers,1.14.1
"profession.Building and Grounds Cleaning and Maintenance Occupations.FirstLine Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",1.14.2
"profession.Building and Grounds Cleaning and Maintenance Occupations.Janitors and Cleaners, Except Maids and Housekeeping Cleaners",1.14.3
profession.Building and Grounds Cleaning and Maintenance Occupations.Maids and Housekeeping Cleaners,1.14.4
"profession.Building and Grounds Cleaning and Maintenance Occupations.Building Cleaning Workers, All Other",1.14.5
profession.Building and Grounds Cleaning and Maintenance Occupations.Pest Control Workers,1.14.6
profession.Building and Grounds Cleaning and Maintenance Occupations.Landscaping and Groundskeeping Workers,1.14.7
"profession.Building and Grounds Cleaning and Maintenance Occupations.Pesticide Handlers, Sprayers, and Applicators, Vegetation",1.14.8
profession.Building and Grounds Cleaning and Maintenance Occupations.Tree Trimmers and Pruners,1.14.9
"profession.Building and Grounds Cleaning and Maintenance Occupations.Grounds Maintenance Workers, All Other",1.14.10
profession.Personal Care and Service Occupations,1.15
profession.Personal Care and Service Occupations.FirstLine Supervisors of Gambling Services Workers,1.15.1
"profession.Personal Care and Service Occupations.FirstLine Supervisors of Entertainment and Recreation Workers, Except Gambling Services",1.15.2
profession.Personal Care and Service Occupations.FirstLine Supervisors of Personal Service Workers,1.15.3
profession.Personal Care and Service Occupations.Animal Trainers,1.15.4
profession.Personal Care and Service Occupations.Animal Caretakers,1.15.5
profession.Personal Care and Service Occupations.Gambling Dealers,1.15.6
profession.Personal Care and Service Occupations.Gambling and Sports Book Writers and Runners,1.15.7
"profession.Personal Care and Service Occupations.Gambling Service Workers, All Other",1.15.8
profession.Personal Care and Service Occupations.Motion Picture Projectionists,1.15.9
"profession.Personal Care and Service Occupations.Ushers, Lobby Attendants, and Ticket Takers",1.15.10
profession.Personal Care and Service Occupations.Amusement and Recreation Attendants,1.15.11
profession.Personal Care and Service Occupations.Costume Attendants,1.15.12
"profession.Personal Care and Service Occupations.Locker Room, Coatroom, and Dressing Room Attendants",1.15.13
"profession.Personal Care and Service Occupations.Entertainment Attendants and Related Workers, All Other",1.15.14
profession.Personal Care and Service Occupations.Embalmers,1.15.15
profession.Personal Care and Service Occupations.Crematory Operators,1.15.16
profession.Personal Care and Service Occupations.Funeral Attendants,1.15.17
"profession.Personal Care and Service Occupations.Morticians, Undertakers, and Funeral Arrangers",1.15.18
profession.Personal Care and Service Occupations.Barbers,1.15.19
"profession.Personal Care and Service Occupations.Hairdressers, Hairstylists, and Cosmetologists",1.15.20
"profession.Personal Care and Service Occupations.Makeup Artists, Theatrical and Performance",1.15.21
profession.Personal Care and Service Occupations.Manicurists and Pedicurists,1.15.22
profession.Personal Care and Service Occupations.Shampooers,1.15.23
profession.Personal Care and Service Occupations.Skincare Specialists,1.15.24
profession.Personal Care and Service Occupations.Baggage Porters and Bellhops,1.15.25
profession.Personal Care and Service Occupations.Concierges,1.15.26
profession.Personal Care and Service Occupations.Tour Guides and Escorts,1.15.27
profession.Personal Care and Service Occupations.Travel Guides,1.15.28
profession.Personal Care and Service Occupations.Childcare Workers,1.15.29
profession.Personal Care and Service Occupations.Exercise Trainers and Group Fitness Instructors,1.15.30
profession.Personal Care and Service Occupations.Recreation Workers,1.15.31
profession.Personal Care and Service Occupations.Residential Advisors,1.15.32
"profession.Personal Care and Service Occupations.Personal Care and Service Workers, All Other",1.15.33
profession.Sales and Related Occupations,1.16
profession.Sales and Related Occupations.FirstLine Supervisors of Retail Sales Workers,1.16.1
profession.Sales and Related Occupations.FirstLine Supervisors of NonRetail Sales Workers,1.16.2
profession.Sales and Related Occupations.Cashiers,1.16.3
profession.Sales and Related Occupations.Gambling Change Persons and Booth Cashiers,1.16.4
profession.Sales and Related Occupations.Counter and Rental Clerks,1.16.5
profession.Sales and Related Occupations.Parts Salespersons,1.16.6
profession.Sales and Related Occupations.Retail Salespersons,1.16.7
profession.Sales and Related Occupations.Advertising Sales Agents,1.16.8
profession.Sales and Related Occupations.Insurance Sales Agents,1.16.9
"profession.Sales and Related Occupations.Securities, Commodities, and Financial Services Sales Agents",1.16.10
profession.Sales and Related Occupations.Travel Agents,1.16.11
"profession.Sales and Related Occupations.Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",1.16.12
"profession.Sales and Related Occupations.Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",1.16.13
"profession.Sales and Related Occupations.Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",1.16.14
profession.Sales and Related Occupations.Demonstrators and Product Promoters,1.16.15
profession.Sales and Related Occupations.Models,1.16.16
profession.Sales and Related Occupations.Real Estate Brokers,1.16.17
profession.Sales and Related Occupations.Real Estate Sales Agents,1.16.18
profession.Sales and Related Occupations.Sales Engineers,1.16.19
profession.Sales and Related Occupations.Telemarketers,1.16.20
"profession.Sales and Related Occupations.DoortoDoor Sales Workers, News and Street Vendors, and Related Workers",1.16.21
"profession.Sales and Related Occupations.Sales and Related Workers, All Other",1.16.22
profession.Office and Administrative Support Occupations,1.17
profession.Office and Administrative Support Occupations.FirstLine Supervisors of Office and Administrative Support Workers,1.17.1
"profession.Office and Administrative Support Occupations.Switchboard Operators, Including Answering Service",1.17.2
profession.Office and Administrative Support Occupations.Telephone Operators,1.17.3
"profession.Office and Administrative Support Occupations.Communications Equipment Operators, All Other",1.17.4
profession.Office and Administrative Support Occupations.Bill and Account Collectors,1.17.5
profession.Office and Administrative Support Occupations.Billing and Posting Clerks,1.17.6
"profession.Office and Administrative Support Occupations.Bookkeeping, Accounting, and Auditing Clerks",1.17.7
profession.Office and Administrative Support Occupations.Gambling Cage Workers,1.17.8
profession.Office and Administrative Support Occupations.Payroll and Timekeeping Clerks,1.17.9
profession.Office and Administrative Support Occupations.Procurement Clerks,1.17.10
profession.Office and Administrative Support Occupations.Tellers,1.17.11
"profession.Office and Administrative Support Occupations.Financial Clerks, All Other",1.17.12
profession.Office and Administrative Support Occupations.Brokerage Clerks,1.17.13
profession.Office and Administrative Support Occupations.Correspondence Clerks,1.17.14
"profession.Office and Administrative Support Occupations.Court, Municipal, and License Clerks",1.17.15
"profession.Office and Administrative Support Occupations.Credit Authorizers, Checkers, and Clerks",1.17.16
profession.Office and Administrative Support Occupations.Customer Service Representatives,1.17.17
"profession.Office and Administrative Support Occupations.Eligibility Interviewers, Government Programs",1.17.18
profession.Office and Administrative Support Occupations.File Clerks,1.17.19
"profession.Office and Administrative Support Occupations.Hotel, Motel, and Resort Desk Clerks",1.17.20
"profession.Office and Administrative Support Occupations.Interviewers, Except Eligibility and Loan",1.17.21
"profession.Office and Administrative Support Occupations.Library Assistants, Clerical",1.17.22
profession.Office and Administrative Support Occupations.Loan Interviewers and Clerks,1.17.23
profession.Office and Administrative Support Occupations.New Accounts Clerks,1.17.24
profession.Office and Administrative Support Occupations.Order Clerks,1.17.25
"profession.Office and Administrative Support Occupations.Human Resources Assistants, Except Payroll and Timekeeping",1.17.26
profession.Office and Administrative Support Occupations.Receptionists and Information Clerks,1.17.27
profession.Office and Administrative Support Occupations.Reservation and Transportation Ticket Agents and Travel Clerks,1.17.28
"profession.Office and Administrative Support Occupations.Information and Record Clerks, All Other",1.17.29
profession.Office and Administrative Support Occupations.Cargo and Freight Agents,1.17.30
profession.Office and Administrative Support Occupations.Couriers and Messengers,1.17.31
profession.Office and Administrative Support Occupations.Public Safety Telecommunicators,1.17.32
"profession.Office and Administrative Support Occupations.Dispatchers, Except Police, Fire, and Ambulance",1.17.33
"profession.Office and Administrative Support Occupations.Meter Readers, Utilities",1.17.34
profession.Office and Administrative Support Occupations.Postal Service Clerks,1.17.35
profession.Office and Administrative Support Occupations.Postal Service Mail Carriers,1.17.36
"profession.Office and Administrative Support Occupations.Postal Service Mail Sorters, Processors, and Processing Machine Operators",1.17.37
"profession.Office and Administrative Support Occupations.Production, Planning, and Expediting Clerks",1.17.38
"profession.Office and Administrative Support Occupations.Shipping, Receiving, and Inventory Clerks",1.17.39
"profession.Office and Administrative Support Occupations.Weighers, Measurers, Checkers, and Samplers, Recordkeeping",1.17.40
profession.Office and Administrative Support Occupations.Executive Secretaries and Executive Administrative Assistants,1.17.41
profession.Office and Administrative Support Occupations.Legal Secretaries and Administrative Assistants,1.17.42
profession.Office and Administrative Support Occupations.Medical Secretaries and Administrative Assistants,1.17.43
"profession.Office and Administrative Support Occupations.Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",1.17.44
profession.Office and Administrative Support Occupations.Data Entry Keyers,1.17.45
profession.Office and Administrative Support Occupations.Word Processors and Typists,1.17.46
profession.Office and Administrative Support Occupations.Desktop Publishers,1.17.47
profession.Office and Administrative Support Occupations.Insurance Claims and Policy Processing Clerks,1.17.48
"profession.Office and Administrative Support Occupations.Mail Clerks and Mail Machine Operators, Except Postal Service",1.17.49
"profession.Office and Administrative Support Occupations.Office Clerks, General",1.17.50
"profession.Office and Administrative Support Occupations.Office Machine Operators, Except Computer",1.17.51
profession.Office and Administrative Support Occupations.Proofreaders and Copy Markers,1.17.52
profession.Office and Administrative Support Occupations.Statistical Assistants,1.17.53
"profession.Office and Administrative Support Occupations.Office and Administrative Support Workers, All Other",1.17.54
"profession.Farming, Fishing, and Forestry Occupations",1.18
"profession.Farming, Fishing, and Forestry Occupations.FirstLine Supervisors of Farming, Fishing, and Forestry Workers",1.18.1
"profession.Farming, Fishing, and Forestry Occupations.Agricultural Inspectors",1.18.2
"profession.Farming, Fishing, and Forestry Occupations.Animal Breeders",1.18.3
"profession.Farming, Fishing, and Forestry Occupations.Graders and Sorters, Agricultural Products",1.18.4
"profession.Farming, Fishing, and Forestry Occupations.Agricultural Equipment Operators",1.18.5
"profession.Farming, Fishing, and Forestry Occupations.Farmworkers and Laborers, Crop, Nursery, and Greenhouse",1.18.6
"profession.Farming, Fishing, and Forestry Occupations.Farmworkers, Farm, Ranch, and Aquacultural Animals",1.18.7
"profession.Farming, Fishing, and Forestry Occupations.Agricultural Workers, All Other",1.18.8
"profession.Farming, Fishing, and Forestry Occupations.Fishing and Hunting Workers",1.18.9
